MULTIPLIER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
,the macallan,spirits,831
,froggy b,spirits,830
,wrights barbecue,dips  salsa,829
,uv go,spirits,829
,pelican brewing company,beer,828
,private selection,coffee,826
,flying fish,beer,823
,hempvana,bath  body,823
,macnaughton,spirits,823
,breakside brewery,beer,822
,essie,nail care,821
,angies boomchickapop,puffed snacks,820
,maine craft variety pack,spirits,820
,golden road brewing,beer,819
,milky way,candy,819
,perrier jouet,wine,817
,simply mixed berry,fruit juices,816
,bakers,cooking  baking,816
,indeed brewing co,beer,815
,khortytsa,spirits,815
,skip the spa,bath  body,814
,mothers brewing company,beer,813
,flying embers,malt beverages,813
,arrow,spirits,812
,knorr,packaged meat,811
,boiron,medicines  treatments,810
,prairie,beer,809
,don q,spirits,808
,smuttynose,beer,808
,rolo,candy,807
,cottonelle,wine,807
,pitorro,spirits,807
,walgreens,hair removal,807
,seagrams ginger ale,beer,806
,smirnoff infusions,spirits,806
,blue chair bay,spirits,803
,schar,bread,802
,precipice,wine,802
,cruzan,spirits,802
,huggies,diapering,797
,dollar shave club,hair removal,794
,elle,deodorant  antiperspirant,792
,soaring heights,wine,792
,southern comfort,spirits,791
,camo black ice,beer,790
,oroweat,bakery,790
,still austin,spirits,789
,montecito,drink mixes,789
,skinny water,water,788
,santa cruz organic,fruit juices,788
,fiber one,candy,788
,mr pure,fruit juices,787
,yokes fresh market,cooking  baking,786
,carefree,feminine hygeine,786
,beechnut,nuts  seeds,785
,la bella,wine,785
,goya,packaged meat,785
,bai,drink mixes,784
,resolve,household cleaning supplies,784
,alfaros,bakery,783
,three notchd brewing company,beer,783
,gerber baby food,crackers,783
,carmen,wine,781
,maille,condiments,781
,spitz,fruit  vegetable snacks,781
,shea moisture,hair care,781
,sparkle,household supplies,780
,elmers,household supplies,780
,joia spirit,spirits,778
,dulce vida,spirits,777
,new belgium,beer,777
,dive bar,wine,776
,dekuyper,spirits,774
,maiers,bread,774
,ninas,drink mixes,772
,publix,dry pasta,772
,bravus brewing co,beer,772
,water less,deodorant  antiperspirant,771
,ithaca beer co,beer,770
,jack daniels,sauces  marinades,770
,1010 premium drinks,spirits,770
,austin cocktails,spirits,768
,keebler,cookies,768
,applegate,prepared meals,768
,santa margherita,wine,768
,bic,cooking  baking,767
,kettle brand,chips,766
,surreal,beer,765
,whalers,malt beverages,765
,cardinal spirits,spirits,763
,bishop cider co,fruit juices,763
,santan brewing company,beer,762
,mcalisters deli,coffee,762
,subway,cooking  baking,762
,betty crocker,pasta  noodles,760
,fve drinks co,spirits,760
,sobieski,spirits,759
,three floyds,beer,759
,gulden draak,beer,758
,bon  viv spiked seltzer blends variety pack,hard seltzers sodas waters lemonades  teas,757
,purple toad winery,wine,756
,hempz,bath  body,756
,shiner straight shooter hard seltzer variety,hard seltzers sodas waters lemonades  teas,755
,remaining brnd,wine,754
,flavor mate,packaged meat,752
,bogle vineyards,wine,750
,archway,fruit  vegetable snacks,750
,egg beaters,eggs,749
,clif kid,candy,749
,nantucket craft cocktails,spirits,749
,simply roundys,fruit juices,748
,sun king brewery,beer,748
,garage brewing co,beer,746
,bayer aspirin,medicines  treatments,746
,saint arnold,beer,745
,boochcraft,malt beverages,744
,polar,carbonated soft drinks,743
,samuel adams,beer,741
,kelloggs,snack cakes,738
,365,bath  body,736
,waterful,water,736
,land o lakes,nut butters  jam,736
,on the border,dips  salsa,735
,palmetto,beer,735
,hairless dog,beer,734
,woodchuck hard cider variety pack,fruit juices,734
,fort george,beer,729
,ore ida,eggs,729
,cheetos mac n cheese,cheese,726
,chattanooga whiskey,spirits,726
,bluff springs,spirits,726
,luvs,household supplies,725
,ommegang,beer,724
,caldrea,bath  body,724
,innovative designs,makeup,723
,day owl,wine,722
,balcones,spirits,721
,benadryl,first aid,720
,teton valley idaho,dips  salsa,717
,kara,drink mixes,715
,schofferhofer hefeweizen,beer,713
,private label,dips  salsa,713
,private label,packaged meat,713
,drinkworks,spirits,712
,earths best,baby bathing,712
,always save,bath  body,711
,cher,deodorant  antiperspirant,710
,gonzalez 1939,spirits,710
,molson canadian,beer,708
,mothers,fruit  vegetable snacks,705
,jimmy dean,frozen turkey,705
,jordan,wine,705
,san manuel,dips  salsa,703
,bubble yum,candy,703
,strainge beast,malt beverages,702
,bob evans,eggs,702
,press,malt beverages,700
,corona hard seltzer,malt beverages,700
,ivory,bath  body,700
,boulevard smokestack series,beer,698
,tita,spirits,697
,dibon,wine,697
,revision brewing company,beer,697
,the original martins pick up,wine,696
,canella,wine,694
,happy baby,baby bathing,693
,logboat brewing co,beer,693
,hunts,packaged meat,692
,sun maid,cooking  baking,691
,kettle house brewing co,beer,691
,three creeks brewing co,beer,690
,milwaukees best,beer,690
,cleancult,bath  body,690
,kelloggs,crackers,688
,bulldog,hair removal,688
,frontera,frozen meals,688
,toms,fruit  vegetable snacks,686
,ortega,packaged meals  sides,686
,nature valley,cereal granola  toaster pastries,684
,the nutmeg spice co,cooking  baking,684
,power house,bath  body,682
,wondershop,deodorant  antiperspirant,682
,canada dry,drink mixes,681
,paradise peak,wine,680
,widmer brothers,beer,679
,milano,candy,678
,peter vella,wine,677
,signature select,carbonated soft drinks,677
,preferred fragrance,body fragrances,677
,muir glen,packaged vegetables,676
,fruit smash,malt beverages,676
,goodnites,cooking  baking,674
,publix,yogurt,674
,paddleford creek,spirits,674
,alpha project,wine,673
,glade,household cleaning supplies,673
,river road,wine,673
,profoot,bath  body,672
,rondel zero,wine,671
,99 party pack,spirits,670
,ice box,wine,670
,bartenders trading co,spirits,669
,rice krispies,cereal granola  toaster pastries,667
,remix,snack mixes,666
,liberty creek,wine,666
,paris hilton,body fragrances,666
,boost,meal replacement beverages,665
,gaze,wine,665
,highland mountain medley,beer,664
,the shipyard,beer,664
,st martin,wine,664
,chomps,jerky  dried meat,663
,woodford reserve,spirits,662
,el mexicano,fruit juices,662
,simply spiked,hard seltzers sodas waters lemonades  teas,661
,nutro,nuts  seeds,661
,brew dog,beer,661
,chobani greek nonfat,yogurt,660
,pampers,baby bathing,660
,private selection,dry pasta,660
,evol,frozen meals,659
,snack pack,pudding  gelatin,657
,pacific shaving co,hair removal,656
,heiners,bakery,656
,kroger,pasta  noodles,655
,pepperidge farm,cheese,654
,founders,malt beverages,653
,larabar,nuts  seeds,653
,odell brewing co,beer,652
,caseys gen store,bakery,649
,edmunds oast brewing co,beer,649
,sensible portions,eggs,648
,jennifer aniston,deodorant  antiperspirant,647
,clairol herbal essences,hair care,647
,shawn mendes signature,deodorant  antiperspirant,647
,jose cuervo,drink mixes,646
,petarmor,medicines  treatments,645
,don ramon,spirits,645
,sara lee bread,bread,644
,retto and lush,spirits,644
,creamette,dry pasta,644
,spearmint,packaged vegetables,643
,whatchamacallit,candy,642
,the copper can,spirits,642
,garrison brothers,spirits,640
,bold rock hard cider variety pack,fruit juices,639
,bacardi silver,malt beverages,638
,dragon,beer,636
,temptations,packaged seafood,636
,brawny,household supplies,635
,pop,wine,635
,carlo rossi,wine,633
,quest,cookies,633
,mother road brewing co,beer,633
,disney frozen ii,bath  body,633
,new realm mixed pack variety pack ipa editio,beer,633
,kupelwieser,wine,632
,knee deep brewing co,beer,631
,smartfood,popcorn,630
,caliber,spirits,630
,foothills hopbox variety pack,beer,630
,la marca,wine,629
,progresso,packaged vegetables,628
,panera bread,bread,627
,the honest co,bath  body,627
,zumba pica,cooking  baking,626
,always save,household supplies,626
,paper mate,household supplies,626
,monkey shoulder,spirits,626
,jetpuffed,cooking  baking,625
,heb,red pasta sauce,624
,nivea,bath  body,624
,near east,cooking  baking,622
,midori,spirits,622
,gerber,fruit  vegetable snacks,622
,barcel,chips,621
,mountain high,milk,621
,smencils,household supplies,621
,sharpie,cooking  baking,620
,casamigos,spirits,620
,estrella galicia,beer,620
,rubbermaid,medicines  treatments,620
,oggi,frozen pizza  pizza snacks,619
,basic hard seltzer variety pack,malt beverages,619
,bobs red mill,cereal granola  toaster pastries,619
,coop ale works,beer,616
,childress vineyards,wine,616
,alka seltzer plus,medicines  treatments,616
,sloop brewing co,beer,616
,ghost,carbonated soft drinks,615
,hello bello,wine,614
,andre,wine,614
,sprout,baby bathing,613
,rekorderlig,fruit juices,613
,suja,fruit juices,612
,garnier hair color,hair care,612
,motts,baby bathing,610
,ritual zero proof,spirits,610
,learning resources,household supplies,610
,old tub,spirits,609
,olde english 800 ice,malt beverages,607
,so delicious,frozen desserts,607
,minis,candy,605
,febreze,household supplies,603
,sunstruck,wine,602
,ortega,cooking  baking,602
,cigar city brewing,beer,602
,forbidden fruit,fruit juices,601
,bubbies,prepared meals,600
,bols,spirits,600
,popsicle,ice,600
,pinaq,spirits,599
,think,crackers,599
,motts,fruit juices,599
,olde english 800,malt beverages,599
,greenalls,spirits,598
,asua,wine,598
,seagrams escapes,malt beverages,598
,platinum 7x,spirits,598
,foothills brewing,beer,596
,good humor,dips  salsa,596
,hammock bay,spirits,595
,bale breaker brewing company,beer,595
,green mountain,candy,595
,brookside,candy,592
,cafe la llave,coffee,592
,mccafe,coffee,592
,clearly canadian,carbonated soft drinks,591
,tropical soul,drink mixes,591
,lysol,household supplies,589
,kamchatka,spirits,589
,chateau palene,wine,589
,impossible,frozen meals,588
,nivea,hair removal,587
,jel sert,drink mixes,586
,twisted q,packaged meat,585
,frankford,drink mixes,585
,blue point brewing company,beer,584
,deschutes brewery,beer,583
,alfaros,bread,583
,liquid death,carbonated soft drinks,582
,payette brewing company,beer,582
,barilla,red pasta sauce,581
,chef paul prudhommes magic seasoning blend,packaged meat,580
,redemption,spirits,579
,funky buddha,beer,579
,hatozaki,spirits,578
,no curfew,wine,577
,potosi,beer,576
,la catrina,wine,575
,odell montage variety pack,beer,575
,laughing dog brewing,beer,575
,hollandia,beer,574
,pelican variety pack,beer,574
,hersheys kisses,candy,574
,grey goose essences,spirits,573
,boca,frozen meals,573
,unique,pretzels,572
,angry orchard,hard ciders,572
,miami cocktail co,wine,571
,body fantasies,deodorant  antiperspirant,570
,quest,nuts  seeds,569
,great lakes dortmunder gold,beer,569
,harrisburg dairies,fruit juices,568
,romanoff,spirits,568
,caress,bath  body,568
,plantation,spirits,568
,honest,diapering,567
,bushwacker,spirits,566
,proverb,wine,566
,cantera negra,spirits,565
,milwaukee brewing co,beer,564
,quirk,malt beverages,564
,brownie brittle,bakery,563
,badia kingsford,cooking  baking,563
,mckenzies,fruit juices,562
,montaudon,wine,562
,weihenstephaner,beer,562
,mamitas,spirits,561
,karben4,beer,560
,the glenlivet,spirits,560
,townes,spirits,559
,yards brewing company,beer,559
,francisco,bakery,559
,hardywood,beer,558
,joose,malt beverages,558
,laura scudders,dips  salsa,558
,gingerhead,spirits,558
,sliq spirited ice,spirits,558
,crux,beer,558
,dark horse,wine,557
,plum organics,gum,556
,oski,spirits,556
,prego,sauces  marinades,555
,van holtens,drink mixes,555
,naked juice,fruit juices,554
,johnnie ryan,carbonated soft drinks,552
,mauro sebaste,wine,552
,revlon,makeup,552
,chao thai,drink mixes,552
,don julio,spirits,551
,weis,chips,550
,izze,carbonated soft drinks,550
,slrrrp shots,spirits,550
,liquid death,water,550
,clamato,fruit juices,549
,jam jar,wine,549
,bang,carbonated soft drinks,548
,wellbeing brewing co,beer,547
,health ade kombucha,tea,546
,flintstones,medicines  treatments,544
,crow canyon,wine,543
,marinela sweet baked goods,bakery,543
,loreal paris hair color,hair care,542
,spearmint,gum,542
,colony,wine,542
,annies homegrown grocery,cooking  baking,541
,kitchen sink,wine,540
,barton,drink mixes,540
,melodramatic,wine,539
,epic brewing,beer,538
,yukon jack fire,spirits,538
,breakstones,prepared meals,537
,north high brewing co,beer,536
,cookie crisp,cookies,534
,romana black,spirits,534
,natural light,spirits,534
,b nektar,fruit juices,534
,vital proteins,medicines  treatments,534
,fiji,water,534
,expo,household supplies,534
,remy martin v,spirits,533
,uncle dicks top dog,spirits,533
,food for life,bread,532
,sheba,cooking  baking,532
,veil,spirits,532
,il duca imperiale 1917,wine,531
,four roses,spirits,530
,infusion brewing company,beer,530
,safeway,candy,529
,lipton tea bags,tea,529
,charm city meadworks,wine,529
,riunite,wine,527
,red baron,frozen pizza  pizza snacks,525
,barilla,pesto sauce,525
,golden crisp,cereal granola  toaster pastries,525
,blind squirrel,spirits,523
,caress,oral care,522
,langers,fruit juices,522
,duke and dame,spirits,522
,hamms,beer,522
,luxe perfumery,deodorant  antiperspirant,521
,real za,frozen pizza  pizza snacks,521
,signature brands,cooking  baking,521
,kraft,pudding  gelatin,520
,bold city brewery,beer,520
,duclaw,beer,520
,busch,beer,520
,il duca imperiale 1917 il conte imports,wine,519
,cape may brewing co,beer,519
,johnsons,baby bathing,519
,pride of szeged,cooking  baking,519
,orville redenbachers,puffed snacks,518
,simple truth,cereal granola  toaster pastries,518
,horton,wine,518
,kopparberg,fruit juices,517
,1858,wine,517
,miralax,medicines  treatments,517
,hallu,deodorant  antiperspirant,517
,glucerna,medicines  treatments,515
,red gold,cooking  baking,515
,bushs best,packaged vegetables,514
,boboli,bakery,514
,sentry,cooking  baking,514
,diosares,wine,513
,goya,frozen vegetables,512
,fremont,beer,512
,raos,dry pasta,512
,duncan hines,snack cakes,512
,luca bosio,wine,511
,austin brothers beer co,beer,511
,four brothers,drink mixes,511
,flyway brewing company,beer,508
,royale club,spirits,508
,baltika,beer,508
,heluva good,cooking  baking,507
,nut harvest,nuts  seeds,506
,line 39,wine,505
,scofflaw brewing co,beer,505
,truly hard seltzer,hard seltzers sodas waters lemonades  teas,504
,kinky,spirits,502
,tooters,spirits,502
,md 20 20 spiked punch,malt beverages,502
,fever tree,carbonated soft drinks,501
,keebler,candy,501
,paso ranches,wine,500
,southern star,beer,500
,rich and rare,spirits,500
,raos,frozen meals,498
,iron city,beer,498
,the rustik oven bread,bread,498
,yankee candle,candy,496
,oscar mayer,prepared meals,496
,egglands best,frozen meals,492
,special k,cereal granola  toaster pastries,492
,modern times beer,beer,491
,ryer estate,wine,489
,well at walgreens,bath  body,489
,valentines day,bath  body,488
,fun wine,wine,488
,calumet farm,spirits,488
,pryes brewing,beer,487
,great white,beer,487
,dia de paloma,spirits,487
,crown royal whiskey tasting calendar,spirits,487
,starburst,fruit  vegetable snacks,486
,wewell,bath  body,485
,guinness,beer,484
,dunkin,coffee,484
,sierra mist,carbonated soft drinks,482
,esme,spirits,482
,5 hour energy,energy drinks,482
,resolve,bath  body,481
,fishers island lemonade,spirits,481
,blue canyon,wine,480
,scoop away,cooking  baking,480
,signature select,water,479
,four peaks,beer,478
,e and j,spirits,477
,natures path,cereal granola  toaster pastries,477
,duchesse de bourgogne,beer,477
,qtips,oral care,476
,heineken premium light lager,beer,475
,kroger,bath  body,475
,koloa,spirits,475
,minute maid,frozen fruits,475
,labatt blue light seltzer,hard seltzers sodas waters lemonades  teas,474
,old el paso other,pickled goods,474
,la banderita,bakery,474
,abbey of leffe,beer,473
,leinenkugels spritzen,malt beverages,472
,brew pub pizza,frozen pizza  pizza snacks,471
,goya,cookies,471
,palermos,frozen pizza  pizza snacks,471
,vendange,wine,470
,tanqueray,spirits,470
,gattavecchi,wine,470
,pepperidge farm,frozen desserts,470
,lone star seltzer,hard seltzers sodas waters lemonades  teas,470
,pay day,candy,469
,clausthaler,beer,469
,cristal,hard seltzers sodas waters lemonades  teas,468
,schlafly sampler,beer,468
,screamin sicilian,frozen,465
,truly,malt beverages,465
,mcalisters deli,packaged fruit  applesauce,464
,chi chis,malt beverages,464
,yazoo,beer,462
,brew dr,carbonated soft drinks,462
,belvedere,spirits,462
,michael angelos,frozen meals,461
,perfect bar,fruit  vegetable snacks,461
,hungryman,cooking  baking,461
,tona,beer,460
,simple pleasures,bath  body,460
,land o lakes,butter  margarine,460
,kros strain brewing company,beer,459
,santo,spirits,458
,artisanal brew works,beer,457
,suntory toki,spirits,457
,camo silver ice,beer,457
,fabrizia,spirits,456
,juniper clean,bath  body,456
,victoria,beer,456
,industrial arts brewing company,beer,456
,giant eagle,bath  body,455
,trident,gum,455
,ska brewing,beer,454
,machete,wine,453
,sunbelt,chips,453
,write dudes,makeup,453
,kroger,sauces  marinades,452
,green man,beer,451
,brownberry,bakery,451
,heaven hill,spirits,451
,frito lay,crackers,450
,george ocean,spirits,450
,goya,dry pasta,450
,chosen foods,cooking  baking,450
,pool house,wine,449
,acme,medicines  treatments,449
,thousand islands winery,wine,449
,montauk,beer,449
,miralax laxatives,medicines  treatments,448
,think,cookies,448
,karbach variety pack,beer,448
,hormel,packaged meat,447
,cheez it,cheese,447
,garnier,skin care,447
,cardinal,household supplies,447
,colombo,wine,446
,lobos,spirits,446
,annies homegrown grocery other,crackers,446
,jarana,spirits,445
,fitzs,packaged meat,445
,arbys,cooking  baking,444
,java monster,coffee,444
,big timber,beer,444
,blue note,spirits,444
,bump stopper,hair removal,443
,riggs beer company,beer,443
,michelob,beer,443
,tuttorosso,cooking  baking,443
,pabst blue ribbon stronger seltzer variety p,fruit juices,443
,the black abbey brewing company,beer,443
,miller64,beer,442
,stella artois,spirits,442
,ca furlan,wine,441
,icehouse,beer,441
,axe,bath  body,440
,superior,beer,440
,nature valley,dips  salsa,440
,stone brook winery,wine,439
,mccain,frozen breakfast,438
,lenders bagels,bakery,438
,island,beer,438
,lotrimin,foot care,437
,kroger,bread,437
,cantina sociale di casorzo,wine,437
,core brewing co,beer,436
,bike rack brewing co,beer,435
,bolthouse farms,medicines  treatments,434
,freixenet,wine,434
,torial,wine,434
,shea moisture,bath  body,434
,dawn simple pleasures,bath  body,434
,afrin nasal spray,medicines  treatments,433
,heath,candy,432
,stormalong,fruit juices,432
,ball park,bakery,432
,gwco,wine,431
,penelope bourbon,spirits,431
,santa clausthaler,beer,431
,stacys pita chips,chips,431
,chateau chantal,wine,430
,betty crocker fruit snacks,fruit  vegetable snacks,430
,paul masson grande amber,spirits,430
,carpano,wine,429
,lil chicks,wine,429
,kix,cereal granola  toaster pastries,429
,bottle green,carbonated soft drinks,429
,mrs meyers,household cleaning supplies,428
,mom water,spirits,428
,knorr,pasta  noodles,428
,pro force members mark,bath  body,428
,cooper station,wine,427
,van der haute,spirits,427
,ballotin,spirits,427
,crystal lake brewing,beer,427
,wright bacon,deli counter,426
,soto,wine,426
,gold bar,spirits,426
,sixpoint,beer,425
,val doca,wine,425
,backpocket brewing,beer,425
,bolthouse farms,coffee,424
,belching beaver brewery,malt beverages,424
,birch benders,cooking  baking,423
,ludington bay brewing co,beer,422
,taffers,drink mixes,422
,wolcott,spirits,421
,green house,wine,420
,bek se ju,wine,420
,wild acre brewing co,beer,420
,archer farms,chips,420
,belching beaver brewery,beer,420
,carib,beer,419
,buzz ballz,spirits,419
,greater good,beer,419
,central waters brewing company inc,beer,418
,art of earth,wine,418
,wild state,fruit juices,418
,crunchmaster,crackers,418
,the bloody buddy,spirits,418
,ice box,spirits,418
,sea cuisine,frozen seafood,418
,envy,sauces  marinades,418
,westbrook brewing co,beer,418
,clown shoes,beer,417
,shea moisture,baby bathing,417
,polar bear,spirits,417
,blooming,wine,416
,great lakes conways,beer,415
,zespri,cooking  baking,415
,shape,cooking  baking,415
,taffers,wine,415
,miracle whip,sauces  marinades,415
,buffalo trace,spirits,415
,always,adult incontinence,415
,rocco  roxie,hair care,414
,simply organic,sauces  marinades,413
,rice krispies,cookies,412
,trouble variety pack,beer,412
,tazo,drink mixes,412
,angeline vineyards,wine,412
,café bustelo,carbonated soft drinks,411
,joseph wagner,wine,410
,wright bacon,chips,410
,barbican,malt beverages,410
,brew hub,beer,410
,maxwell house,coffee,410
,newport,wine,409
,tazo,wine,408
,503 distilling and cocktails,spirits,408
,johnnie walker variety pack,spirits,408
,drakes boxtails,spirits,408
,halo top,frozen desserts,408
,pipeworks brewing company,beer,407
,hersheys,candy,407
,dragoon,beer,406
,ofallon,beer,405
,glacial till vineyard,fruit juices,405
,handy and schiller signature cocktails,spirits,405
,udis gluten free,frozen pizza  pizza snacks,405
,windsor canadian,spirits,404
,maggi savor,packaged meat,404
,tgi fridays,frozen appetizers,403
,midol,medicines  treatments,403
,wolffer,fruit juices,402
,private selection,bakery,402
,oskar blues canundrum variety pack,beer,402
,coors banquet,hard seltzers sodas waters lemonades  teas,401
,guayaki,tea,401
,sardon,wine,401
,georgia winery,wine,401
,goodnites,medicines  treatments,400
,drumstick,frozen desserts,400
,seacrets,spirits,400
,gancia,wine,400
,dansk mjod,wine,400
,redds,malt beverages,399
,uptown,wine,398
,frito lay,dips  salsa,398
,3 sheeps brewing co,beer,397
,lone river ranch water,malt beverages,397
,moms best,cereal granola  toaster pastries,396
,baileys deliciously light,spirits,396
,bolthouse farms,cooking  baking,395
,tease,deodorant  antiperspirant,394
,frito lay,nuts  seeds,394
,arbor mist,wine,393
,camerons coffee,coffee,393
,han jan,wine,393
,skol,spirits,392
,innocent bystander,wine,392
,snyders of hanover,candy,391
,the alchemist,beer,391
,dawn complete,bath  body,391
,colgate whitening,oral care,391
,western cider,fruit juices,391
,two roots brewing co,beer,391
,hb,beer,391
,chi chis,wine,390
,gray duck,malt beverages,390
,the busker,spirits,390
,russian standard,spirits,389
,bentonville brewing co,beer,389
,goose island beer co,beer,389
,sutter home box,wine,388
,jinro 24,spirits,388
,butterball,frozen turkey,388
,innis and gunn,beer,388
,monteli,frozen pizza  pizza snacks,387
,weber seasonings,cooking  baking,387
,lost coast brewery,beer,387
,michaels,spirits,387
,munchos,fruit  vegetable snacks,386
,silver moon brewing,beer,385
,colgate toothpaste,toothpaste,385
,cheez whiz,cheese,385
,rancho la gloria,malt beverages,385
,the american plains,spirits,385
,tippy cow,spirits,384
,yogi,tea,384
,destihl brewery,beer,383
,aveeno baby,baby bathing,383
,monte clavijo,wine,383
,ale smith,beer,383
,lestoil,cooking  baking,382
,entenmanns,cookies,382
,humankind,water,382
,crystal springs,water,381
,lupulin brewing,beer,381
,rebel,frozen desserts,380
,tomintoul,spirits,380
,kind,candy,380
,tomasello winery,wine,380
,treaty oak,spirits,380
,nexxus,oral care,379
,fiber one,snack cakes,379
,agave bomm,spirits,379
,d  g,carbonated soft drinks,379
,cesar,sauces  marinades,379
,the art of shaving,hair removal,378
,love and nature,deodorant  antiperspirant,378
,squamscot,carbonated soft drinks,378
,ed hardy,deodorant  antiperspirant,377
,yosemite road vineyards,wine,377
,pure leaf tea leaves,tea,377
,pinnacle,spirits,377
,seagrams vo,spirits,377
,re lusso,wine,377
,pommery,wine,377
,jenni rivera,spirits,377
,columbus,beer,376
,kid cuisine,frozen meals,376
,durex,medicines  treatments,376
,taaka,spirits,376
,lotrimin,medicines  treatments,376
,ski,carbonated soft drinks,375
,chock full o nuts,coffee,375
,slrrrp,spirits,374
,brew pub lotzza motzza,frozen pizza  pizza snacks,374
,nine banded,spirits,373
,dough ball,spirits,373
,ecco domani,wine,373
,alkaseltzer,medicines  treatments,372
,landshark,spirits,372
,dunkaroos other,cookies,372
,smirnoff,malt beverages,372
,scarlet letter red,malt beverages,372
,greenhouse,spirits,372
,jimmy dean,frozen,372
,jane walker by johnnie walker,spirits,371
,two pitchers brewing co,beer,371
,minis,cookies,371
,woolite,bath  body,370
,upslope spiked snowmelt craft hard seltzer v,hard seltzers sodas waters lemonades  teas,370
,hite,beer,370
,blanc de bleu,wine,370
,nature valley,trail mix,370
,wholesome harvest,bread,370
,villon,spirits,369
,grey sail brewing of rhode island,beer,369
,alpine touch,cooking  baking,368
,fugitive the,wine,368
,ochakovo,beer,368
,tilt,malt beverages,368
,5  gum,gum,367
,baby dove,baby bathing,367
,bearded iris,beer,367
,york,candy,367
,stonewall kitchen,bath  body,367
,moab brewery variety pack,beer,366
,capriccio,wine,366
,burts bees,skin care,366
,mrs meyers,bath  body,366
,starbucks,carbonated soft drinks,366
,silver city brewery,beer,365
,alkaline,water,365
,back forty beer co,beer,365
,budweiser,malt beverages,365
,the kraken,spirits,365
,la enfermera,wine,364
,nos,carbonated soft drinks,364
,blind pig,beer,363
,josh cellars,wine,363
,nexxus,hair care,363
,kirkland signature,spirits,362
,belhaven,beer,362
,miss bevs kick ass,packaged meat,362
,toppling goliath brewing co,beer,361
,mcalisters deli,fruit  vegetable snacks,361
,the virginia beer co,beer,361
,ardbeg wee beastie,spirits,360
,twisted tea,tea,360
,les allies,wine,360
,dragonmead,beer,359
,boneyard beer,beer,359
,parfums belcam,body fragrances,358
,otter creek can jam variety pack,beer,358
,natures path organic,frozen breakfast,357
,perrier,carbonated soft drinks,357
,chivas regal,spirits,357
,hacker pschorr,beer,357
,texas roadhouse,drink mixes,357
,iams,frozen chicken,357
,happy tot,baby bathing,357
,lipton recipe  soup secrets,soup  broth,356
,dawn,bread,356
,diet rite,carbonated soft drinks,356
,maiers bread,bakery,356
,new realm distilling company,spirits,356
,spirits of the apocalypse,spirits,355
,weyerbacher,beer,355
,7th avenue pizza,frozen pizza  pizza snacks,355
,beechnut,fruit  vegetable snacks,355
,thats it,fruit  vegetable snacks,355
,garland food,packaged meat,355
,summit,beer,354
,cointreau noir,spirits,353
,the pioneer woman,household supplies,353
,dole,packaged vegetables,352
,exile,beer,352
,rohrbach brewing company,beer,352
,mtn dew energy,energy drinks,352
,mcalisters deli,frozen meals,351
,southern tier brewing company,spirits,350
,st ives,skin care,350
,cocchi storico,wine,350
,speed stick,deodorant  antiperspirant,349
,rjr,beer,349
,wiseacre brewing company,beer,349
,oscar mayer,frozen sides,348
,10 barrel brewing co,spirits,348
,miller genuine draft,beer,348
,victorias secret,deodorant  antiperspirant,348
,gortons,packaged meat,348
,long trail survival variety pack,beer,347
,peeps,bath  body,347
,lea  perrins,sauces  marinades,347
,poppers,puffed snacks,347
,peerless,spirits,347
,a  w products,makeup,346
,koolaid,gum,346
,keystone light,makeup,345
,montecillo,wine,345
,ufo,beer,344
,labatt blue light,beer,343
,lamarca,wine,343
,malibu splash,malt beverages,343
,brilla,wine,342
,coronado salty crew blonde ale,beer,342
,liquid i v,drink mixes,342
,minute maid premium heart wise,fruit juices,342
,jimmy dean,candy,342
,thirsty dog brewing company,beer,341
,thin man brewery,beer,341
,guinness,malt beverages,341
,southern tier distilling co,spirits,341
,nude,malt beverages,340
,sunchy malta,beer,340
,plum organics,baby bathing,340
,gypsy circus,fruit juices,340
,simply soft,wine,339
,land o lakes,nut butters  jam,339
,simple truth,nut butters  jam,339
,utepils brewing,beer,339
,bentleys,spirits,337
,hard truth distilling co,spirits,337
,mikkeller and three floyds and warpigs,beer,337
,a to z,wine,337
,the shed brewery,beer,337
,gold medal,cooking  baking,336
,crystalline,carbonated soft drinks,336
,log cabin,sauces  marinades,336
,chex mix muddy buddies other,snack mixes,336
,stirrings,spirits,336
,forbidden kiss,wine,335
,campo azul,spirits,335
,natural origins,wine,334
,hellmanns best foods,sauces  marinades,334
,rothaus,beer,334
,simple truth,coffee,334
,phillips,spirits,333
,cracker jack,puffed snacks,333
,enfamil,baby health,332
,toro de lidia,spirits,332
,torani,drink mixes,332
,bend,wine,332
,laffy taffy,candy,332
,nature valley,fruit  vegetable snacks,332
,nicel,hair removal,332
,oskar blues,beer,332
,melvin,beer,331
,krispy kreme,bakery,330
,first street,bath  body,330
,lonimax,bath  body,330
,wylers,cooking  baking,329
,fistful of bourbon,spirits,329
,blackrocks,beer,329
,21st amendment variety pack,beer,329
,jack daniels old no 7 brand,spirits,329
,green giant,frozen vegetables,329
,phillips digestive,medicines  treatments,329
,sober carpenter,beer,329
,afrin,medicines  treatments,328
,cracker jack,crackers,328
,pop zero,puffed snacks,328
,st augustine distillery co,spirits,328
,similac,baby bathing,328
,jetpuffed,frozen desserts,328
,spiked cherries,drink mixes,327
,dove ice cream,frozen desserts,327
,maui brewing co,malt beverages,327
,aviator brewing company,beer,327
,ticonderoga,household supplies,326
